StockID,Year,PER
1101,24Q3,30.22
1101,24Q2,30.72
1101,24Q1,29.59
1101,23Q4,32.88
1101,23Q3,33.93
1101,23Q2,42.28
1101,23Q1,44.39
1101,22Q4,45.47
1101,22Q3,24.49
1101,22Q2,19.55
1101,22Q1,18.76
1101,21Q4,14.55
1101,21Q3,14.35
1101,21Q2,13.39
1101,21Q1,11.51
1101,20Q4,10
1101,20Q3,9.52
1101,20Q2,9.77
1101,20Q1,8.97
1101,19Q4,9.86
1101,19Q3,8.98
1101,19Q2,10.47
1101,19Q1,9.41
1101,18Q4,8.15
1101,18Q3,10.86
1101,18Q2,13.23
1101,18Q1,13.98
1101,17Q4,17.96
1101,17Q3,17.31
1101,17Q2,18.77
1101,17Q1,20.19
1101,16Q4,20.44
1101,16Q3,21.22
1101,16Q2,19.54
1101,16Q1,19.69
1101,15Q4,17.5
1101,15Q3,17.53
1101,15Q2,17.35
1101,15Q1,17.04
1101,14Q4,14.81
1101,14Q3,15.46
1102,24Q3,12.95
1102,24Q2,13.16
1102,24Q1,12.49
1102,23Q4,12.64
1102,23Q3,11.8
1102,23Q2,12.85
1102,23Q1,12.22
1102,22Q4,11.29
1102,22Q3,10.11
1102,22Q2,10.52
1102,22Q1,10.96
1102,21Q4,9.43
1102,21Q3,9.7
1102,21Q2,10.79
1102,21Q1,10.17
1102,20Q4,9.19
1102,20Q3,8.44
1102,20Q2,8.5
1102,20Q1,7.37
1102,19Q4,8.62
1102,19Q3,8.57
1102,19Q2,10.45
1102,19Q1,9.91
1102,18Q4,9.59
1102,18Q3,13.43
1102,18Q2,12.69
1102,18Q1,13.04
1102,17Q4,16.21
1102,17Q3,16.57
1102,17Q2,17.4
1102,17Q1,22.17
1102,16Q4,20.91
1102,16Q3,20.56
1102,16Q2,19.86
1102,16Q1,19.9
1102,15Q4,17.68
1102,15Q3,16.88
1102,15Q2,16.11
1102,15Q1,15
1102,14Q4,13.09
1102,14Q3,13.04
1103,24Q3,590
1103,24Q2,305
1103,24Q1,193.3
1103,23Q4,158.8
1103,23Q3,927.5
1103,23Q2,
1103,23Q1,
1103,22Q4,
1103,22Q3,375.6
1103,22Q2,48.92
1103,22Q1,30.14
1103,21Q4,20.34
1103,21Q3,14.66
1103,21Q2,11.91
1103,21Q1,9.03
1103,20Q4,6.95
1103,20Q3,6.13
1103,20Q2,7.42
1103,20Q1,6.89
1103,19Q4,11.06
1103,19Q3,10.21
1103,19Q2,11
1103,19Q1,11.49
1103,18Q4,12.48
1103,18Q3,11.93
1103,18Q2,10.36
1103,18Q1,8.86
1103,17Q4,9.6
1103,17Q3,11.78
1103,17Q2,15.17
1103,17Q1,29.27
1103,16Q4,218.2
1103,16Q3,78.26
1103,16Q2,43.95
1103,16Q1,35.62
1103,15Q4,28
1103,15Q3,38.29
1103,15Q2,65.14
1103,15Q1,128.4
1103,14Q4,471.7
1103,14Q3,495
1104,24Q3,10.02
1104,24Q2,11.44
1104,24Q1,10.12
1104,23Q4,9.49
1104,23Q3,8.33
1104,23Q2,9.82
1104,23Q1,8.49
1104,22Q4,7.12
1104,22Q3,7.44
1104,22Q2,9.21
1104,22Q1,10.54
1104,21Q4,13.01
1104,21Q3,12.34
1104,21Q2,13.08
1104,21Q1,12.4
1104,20Q4,12.15
1104,20Q3,10.2
1104,20Q2,9.86
1104,20Q1,8.86
1104,19Q4,11.26
1104,19Q3,10.88
1104,19Q2,11.87
1104,19Q1,11.94
1104,18Q4,11.67
1104,18Q3,11.51
1104,18Q2,10.63
1104,18Q1,11.01
1104,17Q4,10.62
1104,17Q3,10.13
1104,17Q2,10.37
1104,17Q1,10.47
1104,16Q4,9.2
1104,16Q3,9.57
1104,16Q2,8.94
1104,16Q1,9.57
1104,15Q4,10.14
1104,15Q3,9.24
1104,15Q2,12.03
1104,15Q1,13.11
1104,14Q4,11.42
1104,14Q3,11.79
1108,24Q3,12.42
1108,24Q2,13.02
1108,24Q1,12.22
1108,23Q4,12.15
1108,23Q3,10.79
1108,23Q2,12.41
1108,23Q1,10.07
1108,22Q4,7.47
1108,22Q3,8.29
1108,22Q2,10.24
1108,22Q1,13.86
1108,21Q4,18.31
1108,21Q3,16.37
1108,21Q2,16.91
1108,21Q1,14.33
1108,20Q4,13.09
1108,20Q3,14.17
1108,20Q2,18.2
1108,20Q1,19.42
1108,19Q4,76.18
1108,19Q3,
1108,19Q2,
1108,19Q1,
1108,18Q4,
1108,18Q3,
1108,18Q2,
1108,18Q1,
1108,17Q4,
1108,17Q3,1160
1108,17Q2,35.74
1108,17Q1,19.04
1108,16Q4,11.69
1108,16Q3,10.56
1108,16Q2,10.41
1108,16Q1,9.62
1108,15Q4,8.71
1108,15Q3,9.28
1108,15Q2,10.1
1108,15Q1,11.06
1108,14Q4,10.96
1108,14Q3,10.64
1109,24Q3,8.95
1109,24Q2,10
1109,24Q1,9.65
1109,23Q4,9.08
1109,23Q3,9.86
1109,23Q2,11.64
1109,23Q1,12.36
1109,22Q4,13.38
1109,22Q3,9.95
1109,22Q2,10.76
1109,22Q1,9.74
1109,21Q4,8.25
1109,21Q3,8.51
1109,21Q2,9.52
1109,21Q1,8.13
1109,20Q4,6.8
1109,20Q3,6.72
1109,20Q2,6.28
1109,20Q1,5.61
1109,19Q4,7.13
1109,19Q3,6.46
1109,19Q2,7.37
1109,19Q1,5.74
1109,18Q4,5.8
1109,18Q3,7.28
1109,18Q2,8.35
1109,18Q1,8.93
1109,17Q4,9.92
1109,17Q3,10.87
1109,17Q2,11.95
1109,17Q1,15.97
1109,16Q4,23.81
1109,16Q3,31.54
1109,16Q2,43.48
1109,16Q1,73.56
1109,15Q4,251.2
1109,15Q3,51.39
1109,15Q2,34.37
1109,15Q1,27.12
1109,14Q4,19.93
1109,14Q3,21.42
1110,24Q3,91
1110,24Q2,83.29
1110,24Q1,69.55
1110,23Q4,72.31
1110,23Q3,72.12
1110,23Q2,74.04
1110,23Q1,67.5
1110,22Q4,71.92
1110,22Q3,68.35
1110,22Q2,77.65
1110,22Q1,84.75
1110,21Q4,81
1110,21Q3,109.6
1110,21Q2,107.6
1110,21Q1,175.1
1110,20Q4,447.5
1110,20Q3,366.7
1110,20Q2,328
1110,20Q1,292.7
1110,19Q4,290.8
1110,19Q3,225.3
1110,19Q2,186.7
1110,19Q1,156.7
1110,18Q4,141.2
1110,18Q3,118.3
1110,18Q2,123.9
1110,18Q1,124.4
1110,17Q4,134.1
1110,17Q3,115.4
1110,17Q2,102.7
1110,17Q1,96.18
1110,16Q4,84.21
1110,16Q3,75.61
1110,16Q2,69.09
1110,16Q1,64.47
1110,15Q4,63.2
1110,15Q3,60.4
1110,15Q2,60.4
1110,15Q1,66.8
1110,14Q4,68
1110,14Q3,67
1201,24Q3,27.5
1201,24Q2,30.41
1201,24Q1,32.97
1201,23Q4,35.94
1201,23Q3,35.83
1201,23Q2,40.6
1201,23Q1,41.24
1201,22Q4,40.53
1201,22Q3,32.53
1201,22Q2,27.48
1201,22Q1,24.73
1201,21Q4,22.25
1201,21Q3,21.58
1201,21Q2,20.78
1201,21Q1,20.62
1201,20Q4,21.04
1201,20Q3,13.44
1201,20Q2,12.33
1201,20Q1,8.8
1201,19Q4,9.38
1201,19Q3,10.15
1201,19Q2,14.23
1201,19Q1,11.43
1201,18Q4,11.47
1201,18Q3,12.54
1201,18Q2,14.83
1201,18Q1,16.66
1201,17Q4,16.15
1201,17Q3,31.58
1201,17Q2,
1201,17Q1,
1201,16Q4,
1201,16Q3,
1201,16Q2,
1201,16Q1,
1201,15Q4,
1201,15Q3,
1201,15Q2,
1201,15Q1,
1201,14Q4,
1201,14Q3,
1203,24Q3,24.83
1203,24Q2,26.06
1203,24Q1,26.64
1203,23Q4,31.61
1203,23Q3,20.7
1203,23Q2,20.7
1203,23Q1,16
1203,22Q4,13.27
1203,22Q3,12.67
1203,22Q2,14.9
1203,22Q1,16.2
1203,21Q4,17.31
1203,21Q3,17.4
1203,21Q2,18.73
1203,21Q1,20.9
1203,20Q4,20.22
1203,20Q3,17.47
1203,20Q2,15.79
1203,20Q1,13.84
1203,19Q4,14.09
1203,19Q3,14.09
1203,19Q2,14.17
1203,19Q1,13.93
1203,18Q4,14.29
1203,18Q3,13.88
1203,18Q2,13.97
1203,18Q1,14.22
1203,17Q4,13.55
1203,17Q3,13.04
1203,17Q2,13.63
1203,17Q1,13.31
1203,16Q4,12.92
1203,16Q3,13.59
1203,16Q2,14.97
1203,16Q1,16.77
1203,15Q4,20.45
1203,15Q3,17.77
1203,15Q2,20.54
1203,15Q1,21.25
1203,14Q4,21.25
1203,14Q3,21.16
1210,24Q3,10.75
1210,24Q2,11.73
1210,24Q1,11.91
1210,23Q4,12.16
1210,23Q3,12.64
1210,23Q2,14.41
1210,23Q1,16.25
1210,22Q4,17.59
1210,22Q3,17.64
1210,22Q2,19.37
1210,22Q1,22.66
1210,21Q4,23.02
1210,21Q3,20.05
1210,21Q2,19.05
1210,21Q1,15.28
1210,20Q4,12.73
1210,20Q3,11.34
1210,20Q2,12.33
1210,20Q1,11.56
1210,19Q4,14.9
1210,19Q3,13.07
1210,19Q2,14.07
1210,19Q1,12.63
1210,18Q4,12.18
1210,18Q3,13.1
1210,18Q2,13.52
1210,18Q1,10.98
1210,17Q4,10.23
1210,17Q3,10.04
1210,17Q2,10.27
1210,17Q1,9.36
1210,16Q4,9.67
1210,16Q3,10.95
1210,16Q2,15.18
1210,16Q1,14.8
1210,15Q4,23.79
1210,15Q3,16.8
1210,15Q2,16.93
1210,15Q1,17.59
1210,14Q4,16.21
1210,14Q3,17.44
1213,24Q3,
1213,24Q2,
1213,24Q1,
1213,23Q4,
1213,23Q3,
1213,23Q2,
1213,23Q1,
1213,22Q4,
1213,22Q3,
1213,22Q2,
1213,22Q1,
1213,21Q4,
1213,21Q3,
1213,21Q2,
1213,21Q1,
1213,20Q4,
1213,20Q3,
1213,20Q2,
1213,20Q1,
1213,19Q4,
1213,19Q3,
1213,19Q2,
1213,19Q1,
1213,18Q4,
1213,18Q3,
1213,18Q2,
1213,18Q1,
1213,17Q4,390
1213,17Q3,155.9
1213,17Q2,109.4
1213,17Q1,84.24
1213,16Q4,62.22
1213,16Q3,53.1
1213,16Q2,64.58
1213,16Q1,59.67
1213,15Q4,47.34
1213,15Q3,50.17
1213,15Q2,78.33
1213,15Q1,89.39
1213,14Q4,96.59
1213,14Q3,86.36
1215,24Q3,14.72
1215,24Q2,14.92
1215,24Q1,15.16
1215,23Q4,12.48
1215,23Q3,13.26
1215,23Q2,14.48
1215,23Q1,14.12
1215,22Q4,14.83
1215,22Q3,15.22
1215,22Q2,15.65
1215,22Q1,15.89
1215,21Q4,15.93
1215,21Q3,15
1215,21Q2,14.34
1215,21Q1,12.98
1215,20Q4,11.72
1215,20Q3,11.07
1215,20Q2,11.72
1215,20Q1,10.48
1215,19Q4,12.12
1215,19Q3,12.54
1215,19Q2,15.36
1215,19Q1,12.86
1215,18Q4,14.99
1215,18Q3,12.88
1215,18Q2,13.51
1215,18Q1,13.35
1215,17Q4,12
1215,17Q3,12.39
1215,17Q2,14.83
1215,17Q1,11.13
1215,16Q4,9.52
1215,16Q3,9.04
1215,16Q2,10.21
1215,16Q1,7.99
1215,15Q4,8.95
1215,15Q3,7.84
1215,15Q2,9
1215,15Q1,9.49
1215,14Q4,7.87
1215,14Q3,7.91
1216,24Q3,25.15
1216,24Q2,25.02
1216,24Q1,23.92
1216,23Q4,23.07
1216,23Q3,22.06
1216,23Q2,24.42
1216,23Q1,23.4
1216,22Q4,22.05
1216,22Q3,21.43
1216,22Q2,20.55
1216,22Q1,19.41
1216,21Q4,19.6
1216,21Q3,19.12
1216,21Q2,20.08
1216,21Q1,19.64
1216,20Q4,17.81
1216,20Q3,16.98
1216,20Q2,19.97
1216,20Q1,18.96
1216,19Q4,22.15
1216,19Q3,22.8
1216,19Q2,25.76
1216,19Q1,23.82
1216,18Q4,22.74
1216,18Q3,19.65
1216,18Q2,15.36
1216,18Q1,11.45
1216,17Q4,9.42
1216,17Q3,10.67
1216,17Q2,12.75
1216,17Q1,15.49
1216,16Q4,20.86
1216,16Q3,23.15
1216,16Q2,25.2
1216,16Q1,22.6
1216,15Q4,22.14
1216,15Q3,24.05
1216,15Q2,24.2
1216,15Q1,24.37
1216,14Q4,24.6
1216,14Q3,25.88
1217,24Q3,27.33
1217,24Q2,30.35
1217,24Q1,28.56
1217,23Q4,29.39
1217,23Q3,27.6
1217,23Q2,26.39
1217,23Q1,22.2
1217,22Q4,19.11
1217,22Q3,17.76
1217,22Q2,21.55
1217,22Q1,25.7
1217,21Q4,26.46
1217,21Q3,25.06
1217,21Q2,26.48
1217,21Q1,19.87
1217,20Q4,21.19
1217,20Q3,19.81
1217,20Q2,26.74
1217,20Q1,35.58
1217,19Q4,71.1
1217,19Q3,70.1
1217,19Q2,71.3
1217,19Q1,72.4
1217,18Q4,68.5
1217,18Q3,53.19
1217,18Q2,42.32
1217,18Q1,32.66
1217,17Q4,27.74
1217,17Q3,30.08
1217,17Q2,31.54
1217,17Q1,33.51
1217,16Q4,35.33
1217,16Q3,43.67
1217,16Q2,54.4
1217,16Q1,67.33
1217,15Q4,99.78
1217,15Q3,
1217,15Q2,
1217,15Q1,
1217,14Q4,
1217,14Q3,
1218,24Q3,67.83
1218,24Q2,154.2
1218,24Q1,
1218,23Q4,
1218,23Q3,7.67
1218,23Q2,4.68
1218,23Q1,3.18
1218,22Q4,2.67
1218,22Q3,3.77
1218,22Q2,4.56
1218,22Q1,7.08
1218,21Q4,22.38
1218,21Q3,19.96
1218,21Q2,19.87
1218,21Q1,18.55
1218,20Q4,15.77
1218,20Q3,13.05
1218,20Q2,15.69
1218,20Q1,17.23
1218,19Q4,18.42
1218,19Q3,17.38
1218,19Q2,18.07
1218,19Q1,17.92
1218,18Q4,19.39
1218,18Q3,19.28
1218,18Q2,19.53
1218,18Q1,18.09
1218,17Q4,18.17
1218,17Q3,23.24
1218,17Q2,25.89
1218,17Q1,29.65
1218,16Q4,41.39
1218,16Q3,44.58
1218,16Q2,36.67
1218,16Q1,34.58
1218,15Q4,33.47
1218,15Q3,31.32
1218,15Q2,42.11
1218,15Q1,50.51
1218,14Q4,57.14
1218,14Q3,58.81
1219,24Q3,20.96
1219,24Q2,21.69
1219,24Q1,20.7
1219,23Q4,20.53
1219,23Q3,20.89
1219,23Q2,22.16
1219,23Q1,21.83
1219,22Q4,18.75
1219,22Q3,19.55
1219,22Q2,20.6
1219,22Q1,19.95
1219,21Q4,20.3
1219,21Q3,16.54
1219,21Q2,16.49
1219,21Q1,13.05
1219,20Q4,11.36
1219,20Q3,11.89
1219,20Q2,16.81
1219,20Q1,19.11
1219,19Q4,29.44
1219,19Q3,38.6
1219,19Q2,60.17
1219,19Q1,136.3
1219,18Q4,
1219,18Q3,213.1
1219,18Q2,90.73
1219,18Q1,57.21
1219,17Q4,40.57
1219,17Q3,39.56
1219,17Q2,36.67
1219,17Q1,34.76
1219,16Q4,32.45
1219,16Q3,34.49
1219,16Q2,38
1219,16Q1,43.1
1219,15Q4,47.26
1219,15Q3,43.24
1219,15Q2,40.27
1219,15Q1,39
1219,14Q4,35.47
1219,14Q3,39.07
1220,24Q3,13.61
1220,24Q2,16.08
1220,24Q1,17.6
1220,23Q4,18.88
1220,23Q3,21.97
1220,23Q2,29.12
1220,23Q1,42.47
1220,22Q4,59.04
1220,22Q3,32.13
1220,22Q2,25.08
1220,22Q1,20.86
1220,21Q4,15.7
1220,21Q3,15.07
1220,21Q2,16.49
1220,21Q1,13.74
1220,20Q4,12.35
1220,20Q3,12.2
1220,20Q2,12.95
1220,20Q1,12.76
1220,19Q4,14.86
1220,19Q3,15.02
1220,19Q2,18.06
1220,19Q1,19.48
1220,18Q4,20.57
1220,18Q3,23.25
1220,18Q2,25.46
1220,18Q1,23.89
1220,17Q4,23.64
1220,17Q3,18.31
1220,17Q2,16.06
1220,17Q1,13.81
1220,16Q4,11.72
1220,16Q3,12.54
1220,16Q2,14.75
1220,16Q1,14.35
1220,15Q4,16.04
1220,15Q3,17.11
1220,15Q2,21.24
1220,15Q1,27.52
1220,14Q4,34.83
1220,14Q3,33.67
1225,24Q3,91.72
1225,24Q2,62.96
1225,24Q1,35.09
1225,23Q4,34.19
1225,23Q3,33.16
1225,23Q2,34.1
1225,23Q1,35.38
1225,22Q4,34.14
1225,22Q3,29.41
1225,22Q2,26.44
1225,22Q1,29.62
1225,21Q4,25.46
1225,21Q3,23.15
1225,21Q2,24.06
1225,21Q1,29.88
1225,20Q4,21.77
1225,20Q3,18.84
1225,20Q2,23.09
1225,20Q1,20.09
1225,19Q4,22.39
1225,19Q3,27.15
1225,19Q2,55.15
1225,19Q1,53.75
1225,18Q4,66.5
1225,18Q3,74.14
1225,18Q2,73.74
1225,18Q1,64.04
1225,17Q4,58.85
1225,17Q3,49.71
1225,17Q2,37.3
1225,17Q1,31.2
1225,16Q4,27.27
1225,16Q3,26.62
1225,16Q2,18.56
1225,16Q1,13.2
1225,15Q4,10.06
1225,15Q3,11.64
1225,15Q2,15.31
1225,15Q1,26.79
1225,14Q4,97.27
1225,14Q3,119.8
1227,24Q3,24.55
1227,24Q2,28.56
1227,24Q1,26.8
1227,23Q4,28.81
1227,23Q3,27.94
1227,23Q2,30.89
1227,23Q1,30.43
1227,22Q4,29.74
1227,22Q3,22.77
1227,22Q2,23.04
1227,22Q1,21.06
1227,21Q4,19.59
1227,21Q3,17.73
1227,21Q2,17.34
1227,21Q1,17.6
1227,20Q4,17.32
1227,20Q3,16.91
1227,20Q2,17.26
1227,20Q1,16.46
1227,19Q4,18.51
1227,19Q3,17.1
1227,19Q2,17.32
1227,19Q1,15.34
1227,18Q4,15.29
1227,18Q3,16.74
1227,18Q2,21.88
1227,18Q1,26.03
1227,17Q4,30.96
1227,17Q3,29.16
1227,17Q2,30.43
1227,17Q1,26.62
1227,16Q4,25.7
1227,16Q3,25.88
1227,16Q2,24.47
1227,16Q1,23.84
1227,15Q4,23.66
1227,15Q3,21.34
1227,15Q2,28.95
1227,15Q1,26.49
1227,14Q4,24.14
1227,14Q3,23.62
1229,24Q3,23.17
1229,24Q2,25.81
1229,24Q1,25.69
1229,23Q4,25.27
1229,23Q3,23.66
1229,23Q2,25.73
1229,23Q1,21.27
1229,22Q4,19.05
1229,22Q3,18.76
1229,22Q2,20.22
1229,22Q1,22.55
1229,21Q4,21.2
1229,21Q3,20.02
1229,21Q2,18.69
1229,21Q1,18.55
1229,20Q4,17.53
1229,20Q3,16.24
1229,20Q2,17.21
1229,20Q1,14.96
1229,19Q4,14.72
1229,19Q3,13.64
1229,19Q2,15.39
1229,19Q1,14.08
1229,18Q4,12.62
1229,18Q3,13.9
1229,18Q2,13.83
1229,18Q1,13.42
1229,17Q4,11.77
1229,17Q3,10.07
1229,17Q2,10.29
1229,17Q1,9.96
1229,16Q4,9.3
1229,16Q3,9.66
1229,16Q2,10.63
1229,16Q1,11.34
1229,15Q4,11.95
1229,15Q3,11.21
1229,15Q2,12.03
1229,15Q1,11.26
1229,14Q4,10.17
1229,14Q3,10.1
1231,24Q3,25.72
1231,24Q2,27.34
1231,24Q1,24.12
1231,23Q4,22.24
1231,23Q3,22.5
1231,23Q2,24.14
1231,23Q1,23.05
1231,22Q4,19.2
1231,22Q3,18.09
1231,22Q2,22.35
1231,22Q1,20.43
1231,21Q4,17.2
1231,21Q3,17.18
1231,21Q2,16.58
1231,21Q1,15.5
1231,20Q4,12.53
1231,20Q3,11.59
1231,20Q2,12.98
1231,20Q1,12.26
1231,19Q4,13.95
1231,19Q3,13.44
1231,19Q2,14.89
1231,19Q1,13.57
1231,18Q4,11.26
1231,18Q3,11.75
1231,18Q2,12.79
1231,18Q1,12.83
1231,17Q4,13.35
1231,17Q3,12.31
1231,17Q2,13.05
1231,17Q1,11.83
1231,16Q4,10.13
1231,16Q3,10.1
1231,16Q2,11.48
1231,16Q1,11.5
1231,15Q4,11.72
1231,15Q3,11.94
1231,15Q2,16.37
1231,15Q1,19.71
1231,14Q4,21.07
1231,14Q3,23.03
1232,24Q3,17.75
1232,24Q2,18.29
1232,24Q1,18.98
1232,23Q4,18.92
1232,23Q3,18.71
1232,23Q2,19.29
1232,23Q1,19.47
1232,22Q4,18.41
1232,22Q3,20.1
1232,22Q2,19.65
1232,22Q1,20.36
1232,21Q4,20.43
1232,21Q3,20.03
1232,21Q2,20.83
1232,21Q1,17.75
1232,20Q4,17.64
1232,20Q3,15.63
1232,20Q2,17.22
1232,20Q1,16.55
1232,19Q4,19.87
1232,19Q3,19.97
1232,19Q2,22.02
1232,19Q1,17.66
1232,18Q4,17.28
1232,18Q3,17.97
1232,18Q2,17.53
1232,18Q1,17.7
1232,17Q4,17.65
1232,17Q3,17.22
1232,17Q2,17.83
1232,17Q1,16.7
1232,16Q4,15.07
1232,16Q3,14.99
1232,16Q2,14.2
1232,16Q1,13.92
1232,15Q4,13.16
1232,15Q3,12.31
1232,15Q2,12.64
1232,15Q1,13.22
1232,14Q4,11.36
1232,14Q3,11.57
1233,24Q3,29.82
1233,24Q2,31.67
1233,24Q1,31.64
1233,23Q4,32.88
1233,23Q3,37.6
1233,23Q2,47.12
1233,23Q1,49.39
1233,22Q4,56.84
1233,22Q3,60.46
1233,22Q2,64.19
1233,22Q1,67.66
1233,21Q4,72.19
1233,21Q3,63.29
1233,21Q2,63.15
1233,21Q1,59.32
1233,20Q4,57.3
1233,20Q3,40.11
1233,20Q2,30.93
1233,20Q1,23.06
1233,19Q4,23.15
1233,19Q3,21.43
1233,19Q2,21.37
1233,19Q1,20.43
1233,18Q4,19.72
1233,18Q3,20.1
1233,18Q2,20.28
1233,18Q1,19.51
1233,17Q4,18.58
1233,17Q3,17.95
1233,17Q2,19.45
1233,17Q1,19.84
1233,16Q4,19.65
1233,16Q3,18.81
1233,16Q2,18.09
1233,16Q1,17.5
1233,15Q4,15.61
1233,15Q3,15.84
1233,15Q2,18.23
1233,15Q1,19.01
1233,14Q4,18.56
1233,14Q3,19.55
1234,24Q3,17.42
1234,24Q2,18.5
