StockID,Year,ROA
1101,2023,2.15
1101,2022,0.92
1101,2021,5.1
1101,2020,7.4
1101,2019,7.15
1101,2018,7.34
1101,2017,3.83
1101,2016,3.16
1101,2015,2.36
1101,2014,5.76
1101,2013,5.43
1101,2012,3.73
1101,2011,5.24
1101,2010,5.74
1101,2009,5.98
1101,2008,3.42
1102,2023,3.35
1102,2022,3.93
1102,2021,5.71
1102,2020,6.32
1102,2019,7.72
1102,2018,5.66
1102,2017,2.75
1102,2016,1.84
1102,2015,1.78
1102,2014,4
1102,2013,5.33
1102,2012,3.01
1102,2011,6.75
1102,2010,5.01
1102,2009,5.82
1102,2008,5.49
1103,2023,0.26
1103,2022,-0.45
1103,2021,1.85
1103,2020,4.63
1103,2019,3.98
1103,2018,2.55
1103,2017,3.59
1103,2016,0.04
1103,2015,0.7
1103,2014,0.16
1103,2013,4.12
1103,2012,-1.93
1103,2011,1.06
1103,2010,1.49
1103,2009,1.32
1103,2008,0.82
1104,24Q1,3.59
1104,2023,8.38
1104,2022,8.25
1104,2021,4.53
1104,2020,5.3
1104,2019,4.97
1104,2018,4.8
1104,2017,6.68
1104,2016,8.35
1104,2015,7.03
1104,2014,7.46
1104,2013,6.65
1104,2012,4.43
1104,2011,2.38
1104,2010,6.51
1104,2009,3.37
1104,2008,0.27
1108,24Q1,4.92
1108,2023,5.37
1108,2022,6.57
1108,2021,3.26
1108,2020,5.11
1108,2019,0.63
1108,2018,-2.78
1108,2017,-1.38
1108,2016,4.04
1108,2015,5.71
1108,2014,4.33
1108,2013,1.88
1108,2012,2.02
1108,2011,-1.57
1108,2010,-2.04
1108,2009,1.02
1108,2008,-0.36
1109,24Q1,3.68
1109,2023,7.01
1109,2022,4.46
1109,2021,10.3
1109,2020,12.6
1109,2019,13.7
1109,2018,13.4
1109,2017,8.25
1109,2016,2.06
1109,2015,-0.64
1109,2014,3.54
1109,2013,3.34
1109,2012,0.58
1109,2011,0.97
1109,2010,-0.08
1109,2009,1.57
1109,2008,2.47
1110,24Q1,1.51
1110,2023,1.31
1110,2022,0.94
1110,2021,1.29
1110,2020,0.17
1110,2019,0.35
1110,2018,0.7
1110,2017,0.63
1110,2016,2.23
1110,2015,1.52
1110,2014,1.49
1110,2013,1.56
1110,2012,0.73
1110,2011,0.25
1110,2010,0.53
1110,2009,0.96
1110,2008,0.08
1201,24Q2,2.61
1201,2023,1.51
1201,2022,1.35
1201,2021,2.82
1201,2020,2.89
1201,2019,6.7
1201,2018,3.21
1201,2017,2.68
1201,2016,-3.08
1201,2015,-5.8
1201,2014,-1
1201,2013,1.92
1201,2012,1.91
1201,2011,1.92
1201,2010,7.98
1201,2009,4.59
1201,2008,3.78
1203,24Q1,9.45
1203,2023,6.54
1203,2022,9.08
1203,2021,7.37
1203,2020,7.4
1203,2019,7.78
1203,2018,7.73
1203,2017,8.39
1203,2016,7.44
1203,2015,5.52
1203,2014,4.48
1203,2013,4.66
1203,2012,2.03
1203,2011,0.14
1203,2010,2.93
1203,2009,7.61
1203,2008,7.82
1210,24Q1,6.88
1210,2023,7.55
1210,2022,4.79
1210,2021,4.17
1210,2020,8.23
1210,2019,6.62
1210,2018,5.8
1210,2017,6.75
1210,2016,6.58
1210,2015,1.19
1210,2014,2.5
1210,2013,6.15
1210,2012,3.33
1210,2011,5.81
1210,2010,5.74
1210,2009,6.2
1210,2008,5.04
1213,24Q1,-12
1213,2023,-14.8
1213,2022,-6.95
1213,2021,-7.94
1213,2020,-2.16
1213,2019,-3.27
1213,2018,-8.02
1213,2017,0.23
1213,2016,1.79
1213,2015,2
1213,2014,1.43
1213,2013,2.05
1213,2012,1.43
1213,2011,0.3
1213,2010,-1.97
1213,2009,1.59
1213,2008,0.75
1215,24Q2,5.25
1215,2023,8.39
1215,2022,6.25
1215,2021,6.15
1215,2020,8.59
1215,2019,10.6
1215,2018,6.71
1215,2017,11.8
1215,2016,12.4
1215,2015,7.58
1215,2014,8.73
1215,2013,4.72
1215,2012,3.39
1215,2011,1.74
1215,2010,5.68
1215,2009,5.75
1215,2008,4.86
1216,24Q2,5.19
1216,2023,4.98
1216,2022,4.98
1216,2021,5.71
1216,2020,6.33
1216,2019,6.44
1216,2018,6.56
1216,2017,15.1
1216,2016,6.09
1216,2015,5.41
1216,2014,4.74
1216,2013,5.84
1216,2012,4.71
1216,2011,4.87
1216,2010,6.07
1216,2009,4.5
1216,2008,2.16
1217,24Q1,2.36
1217,2023,1.57
1217,2022,2.09
1217,2021,1.6
1217,2020,1.9
1217,2019,0.51
1217,2018,0.5
1217,2017,1.22
1217,2016,1.01
1217,2015,0.48
1217,2014,-2.97
1217,2013,-0.46
1217,2012,0.07
1217,2011,0.18
1217,2010,2.33
1217,2009,1.76
1217,2008,0.98
1218,24Q1,4.51
1218,2023,-0.53
1218,2022,43.4
1218,2021,5.96
1218,2020,9.22
1218,2019,6.46
1218,2018,5.71
1218,2017,4.13
1218,2016,1.55
1218,2015,1.6
1218,2014,0.9
1218,2013,-1.46
1218,2012,-2.38
1218,2011,2.35
1218,2010,2.94
1218,2009,2.91
1218,2008,-0.5
1219,24Q2,1.34
1219,2023,3.23
1219,2022,3.15
1219,2021,3.18
1219,2020,6.46
1219,2019,1.62
1219,2018,-1.13
1219,2017,0.67
1219,2016,0.73
1219,2015,0.89
1219,2014,2.14
1219,2013,0.41
1219,2012,-0.93
1219,2011,8.97
1219,2010,3.84
1219,2009,4.24
1219,2008,-0.8
1220,24Q1,7.27
1220,2023,4.93
1220,2022,2.21
1220,2021,6.51
1220,2020,6.07
1220,2019,4.48
1220,2018,3.68
1220,2017,2.79
1220,2016,6.16
1220,2015,3.37
1220,2014,1.32
1220,2013,1.33
1220,2012,4.7
1220,2011,4.65
1220,2010,3.97
1220,2009,-3.49
1220,2008,-7.55
1225,24Q1,3.82
1225,2023,4.51
1225,2022,3.74
1225,2021,5.79
1225,2020,5.41
1225,2019,5.58
1225,2018,4.47
1225,2017,4.69
1225,2016,7.32
1225,2015,9.07
1225,2014,0.97
1225,2013,1.11
1225,2012,0.67
1225,2011,0.56
1225,2010,3.11
1225,2009,2.38
1225,2008,-3.38
1227,24Q1,7.71
1227,2023,4.73
1227,2022,4.43
1227,2021,8.91
1227,2020,12.2
1227,2019,14
1227,2018,12.7
1227,2017,9.93
1227,2016,12.5
1227,2015,14.2
1227,2014,12.3
1227,2013,12.5
1227,2012,17.1
1227,2011,21.6
1227,2010,21.5
1227,2009,13.8
1227,2008,7.94
1229,24Q1,5.53
1229,2023,6.18
1229,2022,6.84
1229,2021,7.43
1229,2020,6.83
1229,2019,8.18
1229,2018,8.24
1229,2017,10.6
1229,2016,8.44
1229,2015,5.59
1229,2014,6.52
1229,2013,5.21
1229,2012,6.13
1229,2011,5.77
1229,2010,7.7
1229,2009,5.91
1229,2008,0.42
1231,24Q1,8.7
1231,2023,8.24
1231,2022,8.83
1231,2021,9.03
1231,2020,8.42
1231,2019,7.25
1231,2018,8.03
1231,2017,6.33
1231,2016,7.36
1231,2015,5.68
1231,2014,3.83
1231,2013,6.6
1231,2012,7.71
1231,2011,8.79
1231,2010,9.41
1231,2009,3.84
1231,2008,3.28
1232,24Q2,16.9
1232,2023,16.1
1232,2022,17.6
1232,2021,19.1
1232,2020,21.8
1232,2019,17.7
1232,2018,17
1232,2017,15.2
1232,2016,17.4
1232,2015,18.9
1232,2014,21.8
1232,2013,16.5
1232,2012,10.9
1232,2011,14.8
1232,2010,16.7
1232,2009,14.9
1232,2008,11.9
1233,24Q1,5.66
1233,2023,4.06
1233,2022,2.21
1233,2021,1.83
1233,2020,2.33
1233,2019,6.73
1233,2018,8.24
1233,2017,8.63
1233,2016,8.54
1233,2015,10.5
1233,2014,11.5
1233,2013,11.5
1233,2012,12
1233,2011,12.8
1233,2010,12.7
1233,2009,10.7
1233,2008,8.77
1234,24Q2,3.68
1234,2023,4.17
1234,2022,3.89
1234,2021,3.54
1234,2020,3.97
1234,2019,3.71
1234,2018,3.04
1234,2017,2.41
1234,2016,4.98
1234,2015,2.85
1234,2014,1.8
1234,2013,1.34
1234,2012,37
1234,2011,2.6
1234,2010,2.52
1234,2009,2.5
1234,2008,1.64
1235,24Q1,3.39
1235,2023,2.15
1235,2022,4.72
1235,2021,1.86
1235,2020,1.57
1235,2019,0.85
1235,2018,1.69
1235,2017,6.15
1235,2016,6.41
1235,2015,1.81
1235,2014,2.49
1235,2013,-2.65
1235,2012,0.69
1235,2011,1.01
1235,2010,1.12
1235,2009,1.47
1235,2008,1.3
1236,24Q1,0.86
1236,2023,0.39
1236,2022,11.2
1236,2021,-0.88
1236,2020,0.01
1236,2019,0.57
1236,2018,0.46
1236,2017,0.17
1236,2016,2.28
1236,2015,3.09
1236,2014,5.51
1236,2013,4.67
1236,2012,5.05
1236,2011,7.01
1236,2010,6.89
1236,2009,8.95
1236,2008,6.92
1256,24Q1,4.28
1256,2023,10
1256,2022,9.79
1256,2021,16.8
1256,2020,23.2
1256,2019,19
1256,2018,17.9
1256,2017,14.2
1256,2016,13.5
1256,2015,13.7
1256,2014,19.9
1256,2013,24.5
1256,2012,14.2
1256,2011,18.3
1256,2010,19
1301,24Q2,0.59
1301,2023,1.41
1301,2022,6.85
1301,2021,14
1301,2020,4.1
1301,2019,7.48
1301,2018,10.1
1301,2017,10.6
1301,2016,8.96
1301,2015,7.23
1301,2014,4.26
1301,2013,5.38
1301,2012,4.17
1301,2011,10.1
1301,2010,13.3
1301,2009,8.8
