year,stockID,per
2014,1101,15.135
2015,1101,17.355
2016,1101,20.2225
2017,1101,18.5575
2018,1101,11.555
2019,1101,9.68
2020,1101,9.565
2021,1101,13.45
2022,1101,27.0675
2023,1101,38.37
2024,1101,30.17666667
2014,1102,13.065
2015,1102,16.4175
2016,1102,20.3075
2017,1102,18.0875
2018,1102,12.1875
2019,1102,9.3875
2020,1102,8.375
2021,1102,10.0225
2022,1102,10.72
2023,1102,12.3775
2024,1102,12.86666667
2014,1103,483.35
2015,1103,64.9575
2016,1103,94.0075
2017,1103,16.455
2018,1103,10.9075
2019,1103,10.94
2020,1103,6.8475
2021,1103,13.985
2022,1103,151.5533333
2023,1103,543.15
2024,1103,362.7666667
2014,1104,11.605
2015,1104,11.13
2016,1104,9.32
2017,1104,10.3975
2018,1104,11.205
2019,1104,11.4875
2020,1104,10.2675
2021,1104,12.7075
2022,1104,8.5775
2023,1104,9.0325
2024,1104,10.52666667
2014,1108,10.8
2015,1108,9.7875
2016,1108,10.57
2017,1108,404.9266667
2019,1108,76.18
2020,1108,16.22
2021,1108,16.48
2022,1108,9.965
2023,1108,11.355
2024,1108,12.55333333
2014,1109,20.675
2015,1109,91.02
2016,1109,43.0975
2017,1109,12.1775
2018,1109,7.59
2019,1109,6.675
2020,1109,6.3525
2021,1109,8.6025
2022,1109,10.9575
2023,1109,10.735
2024,1109,9.533333333
2014,1110,67.5
2015,1110,62.7
2016,1110,73.345
2017,1110,112.095
2018,1110,126.95
2019,1110,214.875
2020,1110,358.725
2021,1110,118.325
2022,1110,75.6675
2023,1110,71.4925
2024,1110,81.28
2017,1201,23.865
2018,1201,13.875
2019,1201,11.2975
2020,1201,13.9025
2021,1201,21.3075
2022,1201,31.3175
2023,1201,38.4025
2024,1201,30.29333333
2014,1203,21.205
2015,1203,20.0025
2016,1203,14.5625
2017,1203,13.3825
2018,1203,14.09
2019,1203,14.07
2020,1203,16.83
2021,1203,18.585
2022,1203,14.26
2023,1203,22.2525
2024,1203,25.84333333
2014,1210,16.825
2015,1210,18.7775
2016,1210,12.65
2017,1210,9.975
2018,1210,12.445
2019,1210,13.6675
2020,1210,11.99
2021,1210,19.35
2022,1210,19.315
2023,1210,13.865
2024,1210,11.46333333
2014,1213,91.475
2015,1213,66.3075
2016,1213,59.8925
2017,1213,184.885
2014,1215,7.89
2015,1215,8.82
2016,1215,9.19
2017,1215,12.5875
2018,1215,13.6825
2019,1215,13.22
2020,1215,11.2475
2021,1215,14.5625
2022,1215,15.3975
2023,1215,13.585
2024,1215,14.93333333
2014,1216,25.24
2015,1216,23.69
2016,1216,22.9525
2017,1216,12.0825
2018,1216,17.3
2019,1216,23.6325
2020,1216,18.43
2021,1216,19.61
2022,1216,20.86
2023,1216,23.2375
2024,1216,24.69666667
2015,1217,99.78
2016,1217,50.1825
2017,1217,30.7175
2018,1217,49.1675
2019,1217,71.225
2020,1217,25.83
2021,1217,24.4675
2022,1217,21.03
2023,1217,26.395
2024,1217,28.74666667
2014,1218,57.975
2015,1218,39.3525
2016,1218,39.305
2017,1218,24.2375
2018,1218,19.0725
2019,1218,17.9475
2020,1218,15.435
2021,1218,20.19
2022,1218,4.52
2023,1218,5.176666667
2024,1218,111.015
2014,1219,37.27
2015,1219,42.4425
2016,1219,37.01
2017,1219,37.89
2018,1219,120.3466667
2019,1219,66.1275
2020,1219,14.7925
2021,1219,16.595
2022,1219,19.7125
2023,1219,21.3525
2024,1219,21.11666667
2014,1220,34.25
2015,1220,20.4775
2016,1220,13.34
2017,1220,17.955
2018,1220,23.2925
2019,1220,16.855
2020,1220,12.565
2021,1220,15.25
2022,1220,34.2775
2023,1220,28.11
2024,1220,15.76333333
2014,1225,108.535
2015,1225,15.95
2016,1225,21.4125
2017,1225,44.265
2018,1225,69.605
2019,1225,39.61
2020,1225,20.9475
2021,1225,25.6375
2022,1225,29.9025
2023,1225,34.2075
2024,1225,63.25666667
2014,1227,23.88
2015,1227,25.11
2016,1227,24.9725
2017,1227,29.2925
2018,1227,19.985
2019,1227,17.0675
2020,1227,16.9875
2021,1227,18.065
2022,1227,24.1525
2023,1227,29.5175
2024,1227,26.63666667
2014,1229,10.135
2015,1229,11.6125
2016,1229,10.2325
2017,1229,10.5225
2018,1229,13.4425
2019,1229,14.4575
2020,1229,16.485
2021,1229,19.615
2022,1229,20.145
2023,1229,23.9825
2024,1229,24.89
2014,1231,22.05
2015,1231,14.935
2016,1231,10.8025
2017,1231,12.635
2018,1231,12.1575
2019,1231,13.9625
2020,1231,12.34
2021,1231,16.615
2022,1231,20.0175
2023,1231,22.9825
2024,1231,25.72666667
2014,1232,11.465
2015,1232,12.8325
2016,1232,14.545
2017,1232,17.35
2018,1232,17.62
2019,1232,19.88
2020,1232,16.76
2021,1232,19.76
2022,1232,19.63
2023,1232,19.0975
2024,1232,18.34
2014,1233,19.055
2015,1233,17.1725
2016,1233,18.5125
2017,1233,18.955
2018,1233,19.9025
2019,1233,21.595
2020,1233,37.85
2021,1233,64.4875
2022,1233,62.2875
2023,1233,41.7475
2024,1233,31.04333333
2014,1234,36.76
2015,1234,26.37
2016,1234,14.8275
2017,1234,17.995
2018,1234,19.59
2019,1234,16.3725
2020,1234,14.695
2021,1234,16.93
2022,1234,16.045
2023,1234,16.9175
2024,1234,17.72666667
2014,1235,30.03
2015,1235,23.6225
2016,1235,10.4475
2017,1235,6.785
2018,1235,14.7075
2019,1235,36.3125
2020,1235,42.365
2021,1235,46.715
2022,1235,51.98
2023,1235,65.905
2024,1235,92.15666667
2014,1236,16.1
2015,1236,20.07
2016,1236,25.17
2017,1236,127.4225
2018,1236,182.425
2019,1236,99.2775
2020,1236,204.1466667
2022,1236,15.6775
2023,1236,46.92
2024,1236,118.3
2014,1256,21.12
2015,1256,20.035
2016,1256,15.42
2017,1256,15.1875
2018,1256,12.55
2019,1256,12.5175
2020,1256,11.4925
2021,1256,18.15
2022,1256,17.85
2023,1256,23.63
2024,1256,16.03666667
2014,1301,25.695
2015,1301,18.4225
2016,1301,14.295
2017,1301,13.055
2018,1301,13.975
2019,1301,15.9325
2020,1301,21.27
2021,1301,13.88
2022,1301,12.8075
2023,1301,37.28
2024,1301,63.69
2014,1303,16.515
2015,1303,15.04
2016,1303,11.885
2017,1303,11.3725
2018,1303,12.2175
2019,1303,18.35
2020,1303,20.08
2021,1303,11.855
2022,1303,12.95
2023,1303,44.5675
2024,1303,56.83333333
2014,1304,26.21
2015,1304,18.4975
2016,1304,13.3375
2017,1304,14.3175
2018,1304,19.91
2019,1304,14.05
2020,1304,8.0025
2021,1304,8.695
2022,1304,9.8975
2023,1304,52.15666667
2014,1305,51.2
2015,1305,13.0125
2016,1305,7.6125
2017,1305,10.925
2018,1305,10.835
2019,1305,13.255
2020,1305,8.5025
2021,1305,10.465
