year,stockID,roa
2023,1101,2.15
2022,1101,0.92
2021,1101,5.1
2020,1101,7.4
2019,1101,7.15
2018,1101,7.34
2017,1101,3.83
2016,1101,3.16
2015,1101,2.36
2014,1101,5.76
2013,1101,5.43
2012,1101,3.73
2011,1101,5.24
2010,1101,5.74
2009,1101,5.98
2008,1101,3.42
2023,1102,3.35
2022,1102,3.93
2021,1102,5.71
2020,1102,6.32
2019,1102,7.72
2018,1102,5.66
2017,1102,2.75
2016,1102,1.84
2015,1102,1.78
2014,1102,4
2013,1102,5.33
2012,1102,3.01
2011,1102,6.75
2010,1102,5.01
2009,1102,5.82
2008,1102,5.49
2023,1103,0.26
2022,1103,-0.45
2021,1103,1.85
2020,1103,4.63
2019,1103,3.98
2018,1103,2.55
2017,1103,3.59
2016,1103,0.04
2015,1103,0.7
2014,1103,0.16
2013,1103,4.12
2012,1103,-1.93
2011,1103,1.06
2010,1103,1.49
2009,1103,1.32
2008,1103,0.82
2023,1104,8.38
2022,1104,8.25
2021,1104,4.53
2020,1104,5.3
2019,1104,4.97
2018,1104,4.8
2017,1104,6.68
2016,1104,8.35
2015,1104,7.03
2014,1104,7.46
2013,1104,6.65
2012,1104,4.43
2011,1104,2.38
2010,1104,6.51
2009,1104,3.37
2008,1104,0.27
2023,1108,5.37
2022,1108,6.57
2021,1108,3.26
2020,1108,5.11
2019,1108,0.63
2018,1108,-2.78
2017,1108,-1.38
2016,1108,4.04
2015,1108,5.71
2014,1108,4.33
2013,1108,1.88
2012,1108,2.02
2011,1108,-1.57
2010,1108,-2.04
2009,1108,1.02
2008,1108,-0.36
2023,1109,7.01
2022,1109,4.46
2021,1109,10.3
2020,1109,12.6
2019,1109,13.7
2018,1109,13.4
2017,1109,8.25
2016,1109,2.06
2015,1109,-0.64
2014,1109,3.54
2013,1109,3.34
2012,1109,0.58
2011,1109,0.97
2010,1109,-0.08
2009,1109,1.57
2008,1109,2.47
2023,1110,1.31
2022,1110,0.94
2021,1110,1.29
2020,1110,0.17
2019,1110,0.35
2018,1110,0.7
2017,1110,0.63
2016,1110,2.23
2015,1110,1.52
2014,1110,1.49
2013,1110,1.56
2012,1110,0.73
2011,1110,0.25
2010,1110,0.53
2009,1110,0.96
2008,1110,0.08
2023,1201,1.51
2022,1201,1.35
2021,1201,2.82
2020,1201,2.89
2019,1201,6.7
2018,1201,3.21
2017,1201,2.68
2016,1201,-3.08
2015,1201,-5.8
2014,1201,-1
2013,1201,1.92
2012,1201,1.91
2011,1201,1.92
2010,1201,7.98
2009,1201,4.59
2008,1201,3.78
2023,1203,6.54
2022,1203,9.08
2021,1203,7.37
2020,1203,7.4
2019,1203,7.78
2018,1203,7.73
2017,1203,8.39
2016,1203,7.44
2015,1203,5.52
2014,1203,4.48
2013,1203,4.66
2012,1203,2.03
2011,1203,0.14
2010,1203,2.93
2009,1203,7.61
2008,1203,7.82
2023,1210,7.55
2022,1210,4.79
2021,1210,4.17
2020,1210,8.23
2019,1210,6.62
2018,1210,5.8
2017,1210,6.75
2016,1210,6.58
2015,1210,1.19
2014,1210,2.5
2013,1210,6.15
2012,1210,3.33
2011,1210,5.81
2010,1210,5.74
2009,1210,6.2
2008,1210,5.04
2023,1213,-14.8
2022,1213,-6.95
2021,1213,-7.94
2020,1213,-2.16
2019,1213,-3.27
2018,1213,-8.02
2017,1213,0.23
2016,1213,1.79
2015,1213,2
2014,1213,1.43
2013,1213,2.05
2012,1213,1.43
2011,1213,0.3
2010,1213,-1.97
2009,1213,1.59
2008,1213,0.75
2023,1215,8.39
2022,1215,6.25
2021,1215,6.15
2020,1215,8.59
2019,1215,10.6
2018,1215,6.71
2017,1215,11.8
2016,1215,12.4
2015,1215,7.58
2014,1215,8.73
2013,1215,4.72
2012,1215,3.39
2011,1215,1.74
2010,1215,5.68
2009,1215,5.75
2008,1215,4.86
2023,1216,4.98
2022,1216,4.98
