Date,Score(%),Article
2022-02-17,0.0,儘管烏俄衝突激增，今（17）日台北股市中的觀光股包含華航、長榮、雄獅、鳳凰等卻受惠有國境開放的消息傳出大漲，像是雄獅旅行社重新上架日本自由行產品，不過指揮中心表示，是否能夠出團出國觀光，還是要先等先開放的商務客入境縮短檢疫期的措施控制好才會考慮。
2022-03-02,-5.93,雄獅旅遊在2020年標得鳴日號列車經營權，今（2）日舉辦觀光列車「鳴日廚房」發表記者會，和晶華酒店集團合作以移動的五星列車為主題搶國旅商機，號稱6月前的班次座位都已經賣光，預計3月15日將開賣7至9月班次。由於新冠疫情台灣旅遊業受到嚴重打擊，國內旅遊力道不足以支撐旅行社成本，且國際旅客減少也重創營收，雄獅旅行社品牌策略總經理游國珍指暑假已經有客製化包團訂單，而觀光局則說今（2）將討論觀光客入境指引。
2022-03-11,-4.76,國內疫情趨緩，大家都好想出國，台北老爺跟日本航空聯手祭出「偽出國」空中饗宴，一泊二食的行程，讓民眾體驗日本福井縣跟奄美大島的特色文化及料理。而雄獅旅遊也推出機加酒的行程，台灣到法國16天行程，一人得花50萬。迎接解封，國外旅遊夯，而星宇航空未來也評估進軍國內線，但時間無法確定。
2022-03-20,-2.99,雄獅旅遊推出鳴日號列車廣受消費者歡迎，不過前主播、現任慈濟人文志業基金會副執行長暨大愛電視總監葉樹姍實際搭乘，還指是上頭提供的素便當中的黑丸子讓她食物中毒，對此雄獅回應，已於第一時間致電客戶表達關切之意，不過另一位也吃素便當的旅客並沒有出現症狀。
2022-03-21,-1.41,前主播、現任慈濟人文志業基金會副執行長暨大愛電視總監葉樹姍日前搭乘鳴日號列車，卻在臉書上ＰＯ文抱怨疑似是素便當內容導致她回家上吐下瀉２天，今（21）日甚至有立委在交通委員會質詢此事，雄獅旅遊再度發聲明強調，合作的供應商是合法登記廠商，目前要求業務單位關心全車旅客，全面檢討餐飲內容。雄獅旅遊推出鳴日號列車廣受消費者歡迎，不過前主播、現任慈濟人文志業基金會副執行長暨大愛電視總監葉樹姍實際搭乘，指是上頭提供的素便當中的黑丸子讓她食物中毒，今（21）日立院交通委員會質詢此事，台鐵坦言，鳴日號餐點並無日常檢驗機制。
2022-03-24,-7.79,"勞動部24日公布最新一期的無薪假統計，這一期有2,396家事業單位正在實施無薪假，人數總計為1萬5,376人。勞動部表示，邊境防疫管制雖然仍持續實施，但國內有一家龍頭級、連鎖旅行社認為已看到開放國境的曙光，為備戰重啟的旅遊而停止實施無薪假。據了解，這家旅行社為雄獅旅行社。"
2022-03-25,-8.16,華航今天(25日)在師大舉辦機師招募活動，請來現役機師跟學生分享經驗、互動，現場超過百位學生參與。而瞄準疫後旅遊市場的不只航空業，勞動部公布最新無薪假統計，跟上周相比，雖然多了92家企業，但人數減少35人，其中包含旅行社在內的支援服務業，實施無薪假的人，比上周少了572人，雄獅更宣布，下個月開始取消「減班休息計畫」。
2022-04-13,-14.0,社群平台推特（Twitter）近日瘋傳一則烏干達男子與野生獅子發生肉搏戰，還成功打死獅子的驚奇事件。據傳，該名男子日前在家門口撞見一頭凶猛的獅子，一人一獅爆發激烈肉搏戰，最終男子戰勝雄獅，還把牠帶回家「大啖下肚」。不過烏干達野生動物部門事後發出聲明，表示該頭獅子是被軍方不得已開槍擊斃，也澄清受傷的男子為在追捕行動中遭獅子攻擊受傷的軍人，打臉網路謠傳說法。
2022-04-15,-8.16,指揮中心今天宣布強化第3劑COVID-19疫苗接種規定，包括旅行社出團。品保協會說，受影響的主要是散客團。雄獅旅遊說，未接種第3劑的旅客，將協助辦理延期，時效以半年為限。
2022-04-17,0.0,因應母親節，雄獅旅遊攜手星宇航空獨家推出「母親節微旅行專機」，5月7號從桃園機場出發飛往日本宮古島欣賞萬呎高空夕陽，於機上享奢華米其林餐點，還可獲得總價7千以上的 Jo Malone 香氛禮盒及星宇小物等好禮，限量30組套票每人最低8520元起，自4月15日中午12點30分於雄獅旅遊網站開賣。
2022-04-20,-7.55,晶華酒店董事長潘思亮、雄獅旅遊董事長王文傑，與前交通部長林佳龍，今天（20日）下午出席，疫後觀光論壇。但現在眼前的，正是嚴峻本土疫情。潘思亮認為，這波衝擊，不會像去年這麼重，但目前台灣應該要做的，是開放旅客免簽入境台灣，「只有利、沒有弊」。除了疫情，加上近期參加旅行團得打三劑疫苗的規定，飯店業者則回應，近期周末餐廳訂位和訂房率，有下降1至2成。
2022-05-17,-14.52,日前在拉斯維加斯一家飯店附設的獅子園內，雄獅疑似不滿管理員一直瞪著牠，突然起身對他施予攻擊，然而除了驚險瞬間外，還出現了感到不可思議的一幕，只見母獅後來衝向前阻止公獅，竟出手救了人類，影片一出讓網友嘖嘖稱奇。
2022-05-23,-13.92,加勒比海地區島國牙買加的動物園內，日前一工作人員戲弄籠內獅子，不斷將手伸進去偷擼雄獅，據悉是在對遊客示範如何觸碰獅子，沒想到竟玩出火來，雄獅狠狠咬住工作人員的手指，工作人員不斷痛苦呻吟、掙扎，好不容易才把手從雄獅口中拔出來，沒想到皮肉當場剝離，只剩「一指白骨」，嚇壞現場遊客。
2022-05-30,-8.0,近日中國大陸廣州動物園裡一隻名叫阿杭的獅子，因為「齊瀏海」造型爆紅，和一般威武的雄獅形象不同，阿杭的乖乖瀏海讓牠看起來非常憨，就連網友也嘲笑醜到「老婆都看不下去」。不過今（30）日阿杭竟然換了新髮型，從齊瀏海變成帥氣的復古「龐巴度頭」，讓網友驚艷，對此動物園表示是「淋雨後自然形成」。動物的樣子也可以千奇百怪，日前中國大陸一隻有張「國字臉」的猴子竄紅，還長滿落腮鬍，讓網友質疑「也太像人」引發熱議後，29日廣州動物園又有一隻獅子因為留了「齊劉海」爆紅，懷疑是有人給牠剪了頭髮，不過園方也回應，是「牠自己打理的，我們不敢剪」，讓人直呼不可思議。
2022-05-31,-6.14,人們對雄獅的想像，應該是一頭茂盛的鬃毛隨風飛揚，不過在大陸廣州的動物園裡的公獅子，最近卻是因為留起了「妹妹頭」、「厚瀏海」的造型而一夕暴紅，不過飼養員強調，獅子的髮型都是牠自己弄的，可沒有人敢幫牠修剪。國際觀光市場逐漸復甦，台灣有望於下半年鬆綁國境管制，雄獅集團為加速布局疫後觀光，今天宣布將擴大招募，預計開出逾500個職缺，將集團人力恢復至疫情前水準。
